@relation Rel

@attribute 'contains copyright' numeric
@attribute 'contains author' numeric
@attribute 'followed by class' numeric
@attribute 'doc comment' numeric
@attribute 'ast location' numeric
@attribute 'decl. distance' numeric
@attribute 'code indicators' numeric
@attribute 'special characters' numeric
@attribute context numeric
@attribute section numeric
@attribute 'inside method' numeric
@attribute length numeric
@attribute task numeric
@attribute 'followed by comment' numeric
@attribute first numeric
@attribute 'Classification Category' {COPYRIGHT,HEADER,INTERFACE,INLINE,SECTION,TASK,CODE}

@data
0,0,0,0,1,4,0,0.071429,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.027273,1,0,0,4,0,0,0,INTERFACE
0,0,0,0,2,8,1,0.111111,0,0,1,1,0,0,0,CODE
0,0,0,0,2,8,1,0.107692,0,0,1,1,0,0,0,CODE
0,0,0,0,2,8,1,0.093333,0,0,1,1,0,0,0,CODE
0,0,0,0,2,-1,1,0.093333,0,0,1,1,0,1,0,CODE
0,0,0,1,1,4,0,0.011299,1,0,0,8,0,0,0,INTERFACE
0,0,0,1,1,4,0,0.011494,1,0,0,8,0,0,0,INTERFACE
0,0,0,0,1,9,0,0.024691,1,0,0,1,0,0,0,INTERFACE
1,0,0,0,0,-1,0,0.01601,0,0,0,18,0,0,1,COPYRIGHT
0,1,1,1,0,16,0,0.004545,0,0,0,12,0,0,0,HEADER
0,0,0,0,1,1,0,0.011834,1,0,0,5,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.011173,1,0,0,5,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.011173,1,0,0,5,0,0,0,INTERFACE
0,1,0,0,1,1,0,0.012658,1,0,0,5,0,0,0,INTERFACE
0,0,0,1,1,3,0,0.005,1,0,0,8,0,0,0,INTERFACE
0,0,0,0,1,5,0,0.038462,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.027778,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,4,0,0.025,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,-1,0,0.054795,0,0,0,1,0,1,0,SECTION
0,0,0,0,1,2,0,0.023256,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,-1,0,0.040404,0,0,0,1,0,1,0,SECTION
0,0,0,0,1,5,0,0.017544,1,0,0,4,0,0,0,INTERFACE
0,0,0,0,2,-1,0,0.04878,0,0,1,1,0,0,0,INLINE
0,0,0,0,1,2,0,0.022727,1,0,0,4,0,0,0,INTERFACE
0,0,0,0,1,4,0,0.022989,1,0,0,3,0,0,0,INTERFACE
